type,price,qty,status,operation,balance,orderId,orderLinkId,profit_loss
sell,0.307277628032466,0.001,ok,126,1.78559070 ETH,1709001161979462144,1709001161979462145,-0.0889487870620087
buy,0.3045822102426427,5.0,ok,127,1.78698958 ETH,1709001165854999040,1709001165854999041,0.0
sell,0.307277628032466,0.001,ok,128,1.78598958 ETH,1709001171710247424,1709001171710247425,0.0026954177898232956
buy,0.307277628032466,5.0,ok,129,1.78738846 ETH,1709001175627727360,1709001175627727361,0.0
sell,0.5229110512129864,0.001,ok,130,1.78638846 ETH,1709001182112121344,1709001182112121345,0.21563342318052042
buy,0.5202156334232768,5.0,ok,131,1.78778734 ETH,1709001185979269632,1709001185979269633,0.0
buy,0.5202156334232768,5.0,ok,132,1.78918622 ETH,1709001232158556672,1709001232158556673,0.0
sell,0.5202156334232768,0.001,ok,133,1.78818622 ETH,1709001241595740672,1709001241595740673,0.0
buy,0.956873315363964,5.0,ok,134,1.78958510 ETH,1709001245538386432,1709001245538386433,0.0
buy,0.962264150943497,5.0,ok,135,1.79098398 ETH,1709001253054579200,1709001253054579201,0.0
buy,0.962264150943497,5.0,ok,136,1.79238286 ETH,1709001257005613568,1709001257005613569,0.0
buy,0.962264150943497,5.0,ok,137,1.79378174 ETH,1709001261015368192,1709001261015368193,0.0
buy,0.962264150943497,5.0,ok,138,1.79518062 ETH,1709001264983179776,1709001264983179777,0.0
sell,0.962264150943497,0.001,ok,139,1.79418062 ETH,1709001270972645888,1709001270972645889,0.0
sell,0.9973045822102904,0.001,ok,140,1.79318062 ETH,1709001276978889216,1709001276978889217,0.03504043126679335
sell,0.9973045822102904,0.001,ok,141,1.79218062 ETH,1709001282884469248,1709001282884469249,0.03504043126679335
sell,0.9973045822102904,0.001,ok,142,1.79118062 ETH,1709001335254548992,1709001335254548993,0.03504043126679335
sell,1.0,0.001,ok,143,1.79018062 ETH,1709001341227237888,1709001341227237889,0.03773584905650296
sell,1.0,0.001,ok,144,1.78918062 ETH,1709001347258647040,1709001347258647041,0.03773584905650296
sell,0.983827493261515,0.001,ok,145,1.78818062 ETH,1709001353197781504,1709001353197781505,0.02156334231801793
sell,0.9865229110513384,0.001,ok,146,1.78718062 ETH,1709001359195636224,1709001359195636225,0.024258760107841337
sell,0.6981132075471805,0.001,ok,147,1.78618062 ETH,1709001368716706304,1709001368716706305,-0.2641509433963165
buy,0.9865229110513384,5.0,ok,148,1.78757950 ETH,1709001372718072320,1709001372718072321,0.0
sell,0.9865229110513384,0.001,ok,149,1.78657950 ETH,1709001378707538432,1709001378707538433,0.0
sell,0.9865229110513384,0.001,ok,150,1.78557950 ETH,1709001384722170368,1709001384722170369,0.0
buy,0.2318059299192327,5.0,ok,151,1.78697838 ETH,1709001388715147776,1709001388715147777,0.0
sell,0.2318059299192327,0.001,ok,152,1.78597838 ETH,1709001439323619840,1709001439323619841,0.0
sell,0.2318059299192327,0.001,ok,153,1.78497838 ETH,1709001448685306368,1709001448685306369,0.0
sell,0.2371967654986519,0.001,ok,154,1.78397838 ETH,1709001454649606656,1709001454649606657,0.00539083557941919
buy,0.0,5.0,ok,155,1.78537726 ETH,1709001458625806848,1709001458625806849,0.0
buy,0.2371967654986519,5.0,ok,156,1.78677614 ETH,1709001462576841216,1709001462576841217,0.0
buy,0.2371967654986519,5.0,ok,157,1.78817502 ETH,1709001466527875584,1709001466527875585,0.0
buy,0.0026954177898232,5.0,ok,158,1.78957390 ETH,1709001470504075776,1709001470504075777,0.0
sell,0.0026954177898232,0.001,ok,159,1.78857390 ETH,1709001476459987456,1709001476459987457,0.0
buy,0.0026954177898232,5.0,ok,160,1.78997278 ETH,1709001480461353472,1709001480461353473,0.0
buy,0.0026954177898232,5.0,ok,161,1.79137166 ETH,1709001484437553664,1709001484437553665,0.0
buy,0.0,5.0,ok,162,1.79277054 ETH,1709001532495888896,1709001532495888897,0.0
buy,0.0,5.0,ok,163,1.79416942 ETH,1709001536488866304,1709001536488866305,0.0
sell,0.0053908355795329,0.001,ok,164,1.79316942 ETH,1709001546018324992,1709001546018324993,0.0053908355795329
buy,0.0053908355795329,5.0,ok,165,1.79456830 ETH,1709001550380401152,1709001550380401153,0.0
sell,0.0053908355795329,0.001,ok,166,1.79356830 ETH,1709001556428587520,1709001556428587521,0.0
sell,0.0053908355795329,0.001,ok,167,1.79256830 ETH,1709001562459996672,1709001562459996673,0.0
buy,0.1590296495957091,5.0,ok,168,1.79396718 ETH,1709001566436196864,1709001566436196865,0.0
buy,0.307277628032466,5.0,ok,169,1.79536606 ETH,1709001570454340096,1709001570454340097,0.0
buy,0.1590296495957091,5.0,ok,170,1.79676494 ETH,1709001578046030336,1709001578046030337,0.0
sell,0.1590296495957091,0.001,ok,171,1.79576494 ETH,1709001584094216704,1709001584094216705,0.0
buy,0.3045822102426427,5.0,ok,172,1.79716382 ETH,1709001632580370944,1709001632588759552,0.0
buy,0.3962264150944747,5.0,ok,173,1.79856270 ETH,1709001636657234432,1709001636657234433,0.0
buy,0.3045822102426427,5.0,ok,174,1.79996158 ETH,1709001640725709312,1709001640725709313,0.0
buy,0.3045822102426427,5.0,ok,175,1.80136046 ETH,1709001644827738624,1709001644827738625,0.0
sell,0.307277628032466,0.001,ok,176,1.80036046 ETH,1709001650943033856,1709001650943033857,0.0026954177898232956
buy,0.3045822102426427,5.0,ok,177,1.80175934 ETH,1709001654952788480,1709001654952788481,0.0
sell,0.307277628032466,0.001,ok,178,1.80075934 ETH,1709001660933865984,1709001660933865985,0.0026954177898232956
buy,0.307277628032466,5.0,ok,179,1.80215822 ETH,1709001664993952256,1709001665002340864,0.0
sell,0.5229110512129864,0.001,ok,180,1.80115822 ETH,1709001671067304448,1709001671067304449,0.21563342318052042
sell,0.5202156334232768,0.001,ok,181,1.80015822 ETH,1709001677207765504,1709001677207765505,0.21293800539081081
buy,0.5202156334232768,5.0,ok,182,1.80155710 ETH,1709001722959233536,1709001722959233537,0.0
sell,0.5202156334232768,0.001,ok,183,1.80055710 ETH,1709001732471915008,1709001732471915009,0.0
buy,0.956873315363964,5.0,ok,184,1.80195598 ETH,1709001736464892416,1709001736464892417,0.0
sell,0.962264150943497,0.001,ok,185,1.80095598 ETH,1709001742454358528,1709001742454358529,0.005390835579533015
buy,0.962264150943497,5.0,ok,186,1.80235486 ETH,1709001746438947328,1709001746438947329,0.0
sell,0.962264150943497,0.001,ok,187,1.80135486 ETH,1709001752453579264,1709001752453579265,0.0
buy,0.962264150943497,5.0,ok,188,1.80275374 ETH,1709001756463333888,1709001756463333889,0.0
buy,0.962264150943497,5.0,ok,189,1.80415262 ETH,1709001760439534080,1709001760439534081,0.0
sell,0.9973045822102904,0.001,ok,190,1.80315262 ETH,1709001766420611584,1709001766420611585,0.03504043126679335
buy,0.9973045822102904,5.0,ok,191,1.80455150 ETH,1709001770413588992,1709001770413588993,0.0
sell,0.9973045822102904,0.001,ok,192,1.80355150 ETH,1709001820728459776,1709001820728459777,0.0
buy,1.0,5.0,ok,193,1.80495038 ETH,1709001824713048576,1709001824713048577,0.0
sell,1.0,0.001,ok,194,1.80395038 ETH,1709001830668960256,1709001830668960257,0.0
sell,0.983827493261515,0.001,ok,195,1.80295038 ETH,1709001836624871936,1709001836624871937,-0.016172506738485026
buy,0.9865229110513384,5.0,ok,196,1.80434926 ETH,1709001840609460736,1709001840609460737,0.0
buy,0.6981132075471805,5.0,ok,197,1.80574814 ETH,1709001844594049536,1709001844594049537,0.0
sell,0.9865229110513384,0.001,ok,198,1.80474814 ETH,1709001850541572608,1709001850541572609,0.28840970350415784
buy,0.9865229110513384,5.0,ok,199,1.80614702 ETH,1709001854484218368,1709001854484218369,0.0
sell,0.9865229110513384,0.001,ok,200,1.80514702 ETH,1709001860851171840,1709001860851171841,0.0
buy,0.2318059299192327,5.0,ok,201,1.80654590 ETH,1709001864793817600,1709001864793817601,0.0
sell,0.2318059299192327,0.001,ok,202,1.80554590 ETH,1709001911107322368,1709001911107322369,0.0
buy,0.2318059299192327,5.0,ok,203,1.80694478 ETH,1709001918464131584,1709001918464131585,0.0
buy,0.2371967654986519,5.0,ok,204,1.80834366 ETH,1709001922423554560,1709001922423554561,0.0
sell,0.0,0.001,ok,205,1.80734366 ETH,1709001928404632064,1709001928404632065,-0.2371967654986519
buy,0.2371967654986519,5.0,ok,206,1.80874254 ETH,1709001932405998080,1709001932405998081,0.0
sell,0.2371967654986519,0.001,ok,207,1.80774254 ETH,1709001938286412288,1709001938286412289,0.0
sell,0.0026954177898232,0.001,ok,208,1.80674254 ETH,1709001944250712576,1709001944250712577,-0.2345013477088287
buy,0.0026954177898232,5.0,ok,209,1.80814142 ETH,1709001948604400128,1709001948604400129,0.0
buy,0.0026954177898232,5.0,ok,210,1.80954030 ETH,1709001952547045888,1709001952547045889,0.0
sell,0.0026954177898232,0.001,ok,211,1.80854030 ETH,1709001958469403136,1709001958469403137,0.0
sell,0.0,0.001,ok,212,1.80754030 ETH,1709002004514472448,1709002004522861056,-0.0026954177898232
sell,0.0,0.001,ok,213,1.80654030 ETH,1709002013859381760,1709002013859381761,-0.0026954177898232
buy,0.0053908355795329,5.0,ok,214,1.80793918 ETH,1709002017827193344,1709002017827193345,0.0
sell,0.0053908355795329,0.001,ok,215,1.80693918 ETH,1709002023774716416,1709002023774716417,0.0
sell,0.0053908355795329,0.001,ok,216,1.80593918 ETH,1709002029680296448,1709002029680296449,0.0
buy,0.0053908355795329,5.0,ok,217,1.80733806 ETH,1709002033622942208,1709002033622942209,0.0
buy,0.1590296495957091,5.0,ok,218,1.80873694 ETH,1709002037540422144,1709002037548810752,0.0
sell,0.307277628032466,0.001,ok,219,1.80773694 ETH,1709002043446002176,1709002043446002177,0.1482479784367569
sell,0.1590296495957091,0.001,ok,220,1.80673694 ETH,1709002049368359424,1709002049368359425,0.0
buy,0.1590296495957091,5.0,ok,221,1.80813582 ETH,1709002053302616576,1709002053302616577,0.0
buy,0.3045822102426427,5.0,ok,222,1.80953470 ETH,1709002098332664320,1709002098332664321,0.0
sell,0.3962264150944747,0.001,ok,223,1.80853470 ETH,1709002104389239296,1709002104389239297,0.091644204851832
buy,0.3045822102426427,5.0,ok,224,1.80993358 ETH,1709002108357050880,1709002108357050881,0.0
sell,0.3045822102426427,0.001,ok,225,1.80893358 ETH,1709002114380071424,1709002114380071425,0.0
sell,0.307277628032466,0.001,ok,226,1.80793358 ETH,1709002120352760320,1709002120352760321,0.0026954177898232956
buy,0.3045822102426427,5.0,ok,227,1.80933246 ETH,1709002124337349120,1709002124337349121,0.0
buy,0.307277628032466,5.0,ok,228,1.81073134 ETH,1709002128305160704,1709002128305160705,0.0
buy,0.307277628032466,5.0,ok,229,1.81213022 ETH,1709002132306526720,1709002132306526721,0.0
sell,0.5229110512129864,0.001,ok,230,1.81113022 ETH,1709002138698646016,1709002138698646017,0.21563342318052042
sell,0.5202156334232768,0.001,ok,231,1.81013022 ETH,1709002144679723520,1709002144679723521,0.21293800539081081
sell,0.5202156334232768,0.001,ok,232,1.80913022 ETH,1709002196311605760,1709002196311605761,0.21293800539081081
buy,0.5202156334232768,5.0,ok,233,1.81052910 ETH,1709002200329748992,1709002200329748993,0.0
sell,0.956873315363964,0.001,ok,234,1.80952910 ETH,1709002206730256896,1709002206730256897,0.4366576819406872
buy,0.962264150943497,5.0,ok,235,1.81092798 ETH,1709002210740011520,1709002210740011521,0.0
buy,0.962264150943497,5.0,ok,236,1.81232686 ETH,1709002218214261248,1709002218222649856,0.0
buy,0.962264150943497,5.0,ok,237,1.81372574 ETH,1709002222190461440,1709002222190461441,0.0
buy,0.962264150943497,5.0,ok,238,1.81512462 ETH,1709002226183438848,1709002226183438849,0.0
buy,0.962264150943497,5.0,ok,239,1.81652350 ETH,1709002230243525120,1709002230243525121,0.0
