type,price,qty,status,operation,balance,orderId,orderLinkId,profit_loss,prediction
buy,0.307277628032466,5.0,ok,78,1.63311774 ETH,1708997498951172608,1708997498951172609,0.0026954177898232956,0.36920345
buy,0.307277628032466,5.0,ok,79,1.63451662 ETH,1708997502927372800,1708997502927372801,0.0,0.36920345
sell,0.5229110512129864,0.001,ok,80,1.63351662 ETH,1708997506937127424,1708997506937127425,0.21563342318052042,0.3974278
sell,0.5202156334232768,0.001,ok,81,1.63251662 ETH,1708997510988825088,1708997510988825089,0.21293800539081081,0.39713675
sell,0.5202156334232768,0.001,ok,82,1.63151662 ETH,1708997514956636672,1708997514956636673,0.21293800539081081,0.39713675
sell,0.5202156334232768,0.001,ok,83,1.63051662 ETH,1708997519125774848,1708997519125774849,0.21293800539081081,0.39713675
sell,0.956873315363964,0.001,ok,84,1.62951662 ETH,1708997523093586432,1708997523093586433,0.6495956873314981,0.43046314
sell,0.962264150943497,0.001,ok,85,1.62851662 ETH,1708997530525893120,1708997530525893121,0.654986522911031,0.43074632
sell,0.962264150943497,0.001,ok,86,1.62751662 ETH,1708997535324176896,1708997535324176897,0.654986522911031,0.43074632
sell,0.962264150943497,0.001,ok,87,1.62651662 ETH,1708997539283599872,1708997539283599873,0.654986522911031,0.43074632
sell,0.962264150943497,0.001,ok,88,1.62551662 ETH,1708997543226245632,1708997543226245633,0.654986522911031,0.43074632
sell,0.962264150943497,0.001,ok,89,1.62451662 ETH,1708997547152114176,1708997547152114177,0.654986522911031,0.43074632
sell,0.9973045822102904,0.001,ok,90,1.62351662 ETH,1708997551103148544,1708997551103148545,0.6900269541778243,0.4325335
sell,0.9973045822102904,0.001,ok,91,1.62251662 ETH,1708997555054182912,1708997555054182913,0.6900269541778243,0.4325335
sell,0.9973045822102904,0.001,ok,92,1.62151662 ETH,1708997558971662848,1708997558971662849,0.6900269541778243,0.4325335
sell,1.0,0.001,ok,93,1.62051662 ETH,1708997562931085824,1708997562931085825,0.692722371967534,0.43266726
sell,1.0,0.001,ok,94,1.61951662 ETH,1708997566856954368,1708997566856954369,0.692722371967534,0.43266726
sell,0.983827493261515,0.001,ok,95,1.61851662 ETH,1708997570782822912,1708997570782822913,0.6765498652290489,0.43185687
sell,0.9865229110513384,0.001,ok,96,1.61751662 ETH,1708997574725468672,1708997574725468673,0.6792452830188724,0.4319933
sell,0.6981132075471805,0.001,ok,97,1.61651662 ETH,1708997578684891648,1708997578684891649,0.39083557951471454,0.41367662
sell,0.9865229110513384,0.001,ok,98,1.61551662 ETH,1708997582610760192,1708997582610760193,0.6792452830188724,0.4319933
sell,0.9865229110513384,0.001,ok,99,1.61451662 ETH,1708997586536628736,1708997586536628737,0.6792452830188724,0.4319933
sell,0.9865229110513384,0.001,ok,100,1.61351662 ETH,1708997590496051712,1708997590496051713,0.6792452830188724,0.4319933
buy,0.2318059299192327,5.0,ok,101,1.61491550 ETH,1708997594413531648,1708997594413531649,-0.07547169811323329,0.35671616
buy,0.2318059299192327,5.0,ok,102,1.61631438 ETH,1708997598381343232,1708997598381343233,0.0,0.35671616
buy,0.2318059299192327,5.0,ok,103,1.61771326 ETH,1708997602349154816,1708997602349154817,0.0,0.35671616
buy,0.2371967654986519,5.0,ok,104,1.61911214 ETH,1708997606275023360,1708997606275023361,0.00539083557941919,0.3576543
buy,0.0,5.0,ok,105,1.62051102 ETH,1708997610234446336,1708997610234446337,-0.2371967654986519,0.31092376
buy,0.2371967654986519,5.0,ok,106,1.62190990 ETH,1708997614160314880,1708997614160314881,0.2371967654986519,0.3576543
buy,0.2371967654986519,5.0,ok,107,1.62330878 ETH,1708997618094572032,1708997618094572033,0.0,0.3576543
buy,0.0026954177898232,5.0,ok,108,1.62470766 ETH,1708997622045606400,1708997622045606401,-0.2345013477088287,0.31149793
buy,0.0026954177898232,5.0,ok,109,1.62610654 ETH,1708997625979863552,1708997625979863553,0.0,0.31149793
buy,0.0026954177898232,5.0,ok,110,1.62750542 ETH,1708997629930897920,1708997629930897921,0.0,0.31149793
buy,0.0026954177898232,5.0,ok,111,1.62890430 ETH,1708997633982595584,1708997633982595585,0.0,0.31149793
buy,0.0,5.0,ok,112,1.63030318 ETH,1708997637950407168,1708997637950407169,-0.0026954177898232,0.31092376
buy,0.0,5.0,ok,113,1.63170206 ETH,1708997641867887104,1708997641867887105,0.0,0.31092376
buy,0.0053908355795329,5.0,ok,114,1.63310094 ETH,1708997645827310080,1708997645827310081,0.0053908355795329,0.3120717
buy,0.0053908355795329,5.0,ok,115,1.63449982 ETH,1708997649786733056,1708997649786733057,0.0,0.3120717
buy,0.0053908355795329,5.0,ok,116,1.63589870 ETH,1708997653746156032,1708997653746156033,0.0,0.3120717
buy,0.0053908355795329,5.0,ok,117,1.63729758 ETH,1708997657797853696,1708997657797853697,0.0,0.3120717
buy,0.1590296495957091,5.0,ok,118,1.63869646 ETH,1708997661774053888,1708997661774053889,0.15363881401617618,0.34339187
buy,0.307277628032466,5.0,ok,119,1.64009534 ETH,1708997665691533824,1708997665691533825,0.1482479784367569,0.36920345
buy,0.1590296495957091,5.0,ok,120,1.64149422 ETH,1708997669642568192,1708997669642568193,-0.1482479784367569,0.34339187
buy,0.1590296495957091,5.0,ok,121,1.64289310 ETH,1708997673593602560,1708997673593602561,0.0,0.34339187
buy,0.3045822102426427,5.0,ok,122,1.64429198 ETH,1708997677544636928,1708997677544636929,0.14555256064693362,0.3687817
sell,0.3962264150944747,0.001,ok,123,1.64329198 ETH,1708997681487282688,1708997681487282689,0.091644204851832,0.38212785
buy,0.3045822102426427,5.0,ok,124,1.64469086 ETH,1708997685446705664,1708997685446705665,0.0,0.3687817
buy,0.3045822102426427,5.0,ok,125,1.64608974 ETH,1708997689389351424,1708997689389351425,0.0,0.3687817
buy,0.307277628032466,5.0,ok,126,1.64748862 ETH,1708997693365551616,1708997693365551617,0.0026954177898232956,0.36920345
buy,0.3045822102426427,5.0,ok,127,1.64888750 ETH,1708997697324974592,1708997697324974593,-0.0026954177898232956,0.3687817
buy,0.307277628032466,5.0,ok,128,1.65028638 ETH,1708997701359895040,1708997701359895041,0.0026954177898232956,0.36920345
buy,0.307277628032466,5.0,ok,129,1.65168526 ETH,1708997705294152192,1708997705294152193,0.0,0.36920345
sell,0.5229110512129864,0.001,ok,130,1.65068526 ETH,1708997709287129600,1708997709287129601,0.21563342318052042,0.3974278
